,Company.CIK,Target.Company,Switch.Date,Event__,Filer.CIK,Date.of.13g,Switcher,INDEX_URL,EDGAR_LINK__,SIC,state_of_INC
1623,1005751,SUPERIOR__SERVICES__INC,6/21/1999,1137,1010638,10/27/1992,TATE JOSEPH P,0,0,0,0
699,40970,GENOVESE__DRUG__STORES__INC,11/10/1994,67,918861,2/14/1994,,0,0,0,0
1402,75754,PAINE WEBBER GROUP INC ,2/8/2000,231,807985,7/11/1994,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/75754/0000950144-94-001318-index.htm,https://www.sec.gov/Archives/edgar/data/75754/0000950144-94-001318.txt,6211,DE
2236,3449,ALEXANDER ALEXANDER SERVICES INC ,2/8/2000,231,807985,2/9/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/3449/0000807985-95-000008-index.htm,https://www.sec.gov/Archives/edgar/data/3449/0000807985-95-000008.txt,6411,MD
2311,775368,ALLEGHANY CORP DE ,2/8/2000,231,807985,2/9/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/775368/0000807985-95-000009-index.htm,https://www.sec.gov/Archives/edgar/data/775368/0000807985-95-000009.txt,6361,DE
2332,100817,UNION CORP ,2/8/2000,231,807985,2/10/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/100817/0000807985-95-000026-index.htm,https://www.sec.gov/Archives/edgar/data/100817/0000807985-95-000026.txt,7320,DE
2357,110985,CRAIG CORP ,2/8/2000,231,807985,2/10/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/110985/0000807985-95-000016-index.htm,https://www.sec.gov/Archives/edgar/data/110985/0000807985-95-000016.txt,8742,DE
2364,225051,ARDEN GROUP INC ,2/8/2000,231,807985,2/10/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/225051/0000807985-95-000013-index.htm,https://www.sec.gov/Archives/edgar/data/225051/0000807985-95-000013.txt,5411,DE
2366,25232,COUSINS PROPERTIES INC ,2/8/2000,231,807985,2/10/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/25232/0000807985-95-000015-index.htm,https://www.sec.gov/Archives/edgar/data/25232/0000807985-95-000015.txt,6798,GA
2370,31462,ECOLAB INC ,2/8/2000,231,807985,2/10/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/31462/0000807985-95-000018-index.htm,https://www.sec.gov/Archives/edgar/data/31462/0000807985-95-000018.txt,2840,DE
2470,3453,ALEXANDER BALDWIN INC ,2/8/2000,231,807985,2/10/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/3453/0000807985-95-000014-index.htm,https://www.sec.gov/Archives/edgar/data/3453/0000807985-95-000014.txt,4400,HI
2477,37914,FOODARAMA SUPERMARKETS INC ,2/8/2000,231,807985,2/10/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/37914/0000807985-95-000019-index.htm,https://www.sec.gov/Archives/edgar/data/37914/0000807985-95-000019.txt,5411,NJ
2483,43952,GREY ADVERTISING INC DE ,2/8/2000,231,807985,2/10/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/43952/0000807985-95-000020-index.htm,https://www.sec.gov/Archives/edgar/data/43952/0000807985-95-000020.txt,7311,DE
2542,729970,DELCHAMPS INC ,2/8/2000,231,807985,2/10/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/729970/0000807985-95-000017-index.htm,https://www.sec.gov/Archives/edgar/data/729970/0000807985-95-000017.txt,5411,AL
2544,733060,PIONEER GROUP INC ,2/8/2000,231,807985,2/10/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/733060/0000807985-95-000023-index.htm,https://www.sec.gov/Archives/edgar/data/733060/0000807985-95-000023.txt,6282,DE
2549,745142,CURTIS HELENE INDUSTRIES INC DE ,2/8/2000,231,807985,2/10/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/745142/0000807985-95-000021-index.htm,https://www.sec.gov/Archives/edgar/data/745142/0000807985-95-000021.txt,2844,DE
2557,75754,PAINE WEBBER GROUP INC ,2/8/2000,231,807985,2/10/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/75754/0000807985-95-000022-index.htm,https://www.sec.gov/Archives/edgar/data/75754/0000807985-95-000022.txt,6211,DE
2571,78457,PIEDMONT MANAGEMENT CO INC ,2/8/2000,231,807985,2/10/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/78457/0000807985-95-000012-index.htm,https://www.sec.gov/Archives/edgar/data/78457/0000807985-95-000012.txt,6311,DE
2573,79166,PLENUM PUBLISHING CORP ,2/8/2000,231,807985,2/10/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/79166/0000807985-95-000024-index.htm,https://www.sec.gov/Archives/edgar/data/79166/0000807985-95-000024.txt,2721,DE
2590,91440,SNAP ON INC ,2/8/2000,231,807985,2/10/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/807985/0000807985-95-000025-index.htm,https://www.sec.gov/Archives/edgar/data/807985/0000807985-95-000025.txt,3420,DE
2965,230211,FEDERAL EXPRESS CORP ,2/8/2000,231,807985,2/14/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/230211/0000807985-95-000038-index.htm,https://www.sec.gov/Archives/edgar/data/230211/0000807985-95-000038.txt,4513,DE
3558,68813,MULTIMEDIA INC ,2/8/2000,231,807985,3/8/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/68813/0000807985-95-000039-index.htm,https://www.sec.gov/Archives/edgar/data/68813/0000807985-95-000039.txt,4833,SC
3698,37914,FOODARAMA SUPERMARKETS INC ,2/8/2000,231,807985,6/5/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/37914/0000807985-95-000040-index.htm,https://www.sec.gov/Archives/edgar/data/37914/0000807985-95-000040.txt,5411,NJ
3699,91440,SNAP ON INC ,2/8/2000,231,807985,6/5/1995,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/807985/0000807985-95-000041-index.htm,https://www.sec.gov/Archives/edgar/data/807985/0000807985-95-000041.txt,3420,DE
4375,47580,HILTON HOTELS CORP ,2/8/2000,231,807985,2/6/1996,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/47580/0000807985-96-000018-index.htm,https://www.sec.gov/Archives/edgar/data/47580/0000807985-96-000018.txt,7011,DE
4383,54480,KANSAS CITY SOUTHERN INDUSTRIES INC ,2/8/2000,231,807985,2/6/1996,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/54480/0000807985-96-000019-index.htm,https://www.sec.gov/Archives/edgar/data/54480/0000807985-96-000019.txt,4011,DE
4394,81371,QUAKER OATS CO ,2/8/2000,231,807985,2/6/1996,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/807985/0000807985-96-000020-index.htm,https://www.sec.gov/Archives/edgar/data/807985/0000807985-96-000020.txt,2000,NJ
4395,83679,RHODES INC ,2/8/2000,231,807985,2/6/1996,SOUTHEASTERN ASSET MANAGEMENT INC TN ,https://www.sec.gov/Archives/edgar/data/807985/0000807985-96-000021-index.htm,https://www.sec.gov/Archives/edgar/data/807985/0000807985-96-000021.txt,5712,GA
1803,703799,VICORP__RESTAURANTS__INC,2/8/2000,231,807985,NA,southeastern asset management,NA,NA,0,0
6899,6260,ANACOMP INC ,2/18/1998,797,38777,9/4/1996,FRANKLIN RESOURCES INC ,https://www.sec.gov/Archives/edgar/data/38777/0000038777-96-000130-index.htm,https://www.sec.gov/Archives/edgar/data/38777/0000038777-96-000130.txt,3861,IN
7203,37008,FIRST UNION REAL ESTATE EQUITY MORTGAGE INVESTMENTS ,2/18/1998,797,38777,11/22/1996,FRANKLIN RESOURCES INC ,https://www.sec.gov/Archives/edgar/data/37008/0000038777-96-000145-index.htm,https://www.sec.gov/Archives/edgar/data/37008/0000038777-96-000145.txt,6798,OH
338,895519,CHIC__BY__H__I__S__INC,2/18/1998,797,38777,NA,Franklin Resources Inc,NA,NA,0,0
3810,102379,URS CORP NEW ,7/9/1999,585,937394,8/15/1995,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/102379/0000950124-95-002584-index.htm,https://www.sec.gov/Archives/edgar/data/102379/0000950124-95-002584.txt,8711,DE
3812,780118,AMWEST INSURANCE GROUP INC ,7/9/1999,585,937394,8/15/1995,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/780118/0000950124-95-002581-index.htm,https://www.sec.gov/Archives/edgar/data/780118/0000950124-95-002581.txt,6351,DE
3813,782379,VECTRA TECHNOLOGIES INC ,7/9/1999,585,937394,8/15/1995,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/782379/0000950124-95-002586-index.htm,https://www.sec.gov/Archives/edgar/data/782379/0000950124-95-002586.txt,4955,WA
3814,930184,ICN PHARMACEUTICALS INC ,7/9/1999,585,937394,8/15/1995,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/930184/0000950124-95-002583-index.htm,https://www.sec.gov/Archives/edgar/data/930184/0000950124-95-002583.txt,2834,DE
3847,700914,PROFESSIONAL BANCORP INC ,7/9/1999,585,937394,9/11/1995,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/700914/0000950124-95-002899-index.htm,https://www.sec.gov/Archives/edgar/data/700914/0000950124-95-002899.txt,6022,PA
3849,773136,RAMSAY HEALTH CARE INC ,7/9/1999,585,937394,9/11/1995,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/773136/0000950124-95-002896-index.htm,https://www.sec.gov/Archives/edgar/data/773136/0000950124-95-002896.txt,8060,DE
3850,819694,PEOPLES TELEPHONE COMPANY INC ,7/9/1999,585,937394,9/11/1995,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/819694/0000950124-95-002894-index.htm,https://www.sec.gov/Archives/edgar/data/819694/0000950124-95-002894.txt,4899,NY
3930,703701,WESTBRIDGE CAPITAL CORP ,7/9/1999,585,937394,11/13/1995,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/703701/0000950124-95-003699-index.htm,https://www.sec.gov/Archives/edgar/data/703701/0000950124-95-003699.txt,6321,DE
3980,276104,UNC INC ,7/9/1999,585,937394,12/11/1995,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/276104/0000950124-95-004082-index.htm,https://www.sec.gov/Archives/edgar/data/276104/0000950124-95-004082.txt,3724,DE
3994,852485,SERV TECH INC TX ,7/9/1999,585,937394,12/11/1995,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/852485/0000950124-95-004083-index.htm,https://www.sec.gov/Archives/edgar/data/852485/0000950124-95-004083.txt,7600,TX
4077,799231,CARETENDERS HEALTH CORP ,7/9/1999,585,937394,1/10/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/799231/0000950124-96-000173-index.htm,https://www.sec.gov/Archives/edgar/data/799231/0000950124-96-000173.txt,8082,DE
4881,350557,OXBORO MEDICAL INTERNATIONAL INC ,7/9/1999,585,937394,2/12/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/350557/0000950124-96-000585-index.htm,https://www.sec.gov/Archives/edgar/data/350557/0000950124-96-000585.txt,3841,MN
4892,40956,GREINER ENGINEERING INC ,7/9/1999,585,937394,2/12/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/40956/0000950124-96-000586-index.htm,https://www.sec.gov/Archives/edgar/data/40956/0000950124-96-000586.txt,8711,NV
5062,768158,NORTH STAR UNIVERSAL INC ,7/9/1999,585,937394,2/12/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/768158/0000950124-96-000588-index.htm,https://www.sec.gov/Archives/edgar/data/768158/0000950124-96-000588.txt,5045,MN
5095,813298,DESIGNS INC ,7/9/1999,585,937394,2/12/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/813298/0000950124-96-000584-index.htm,https://www.sec.gov/Archives/edgar/data/813298/0000950124-96-000584.txt,5651,DE
6061,82414,WHITE DAVID INC ,7/9/1999,585,937394,2/14/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/82414/0000950124-96-000731-index.htm,https://www.sec.gov/Archives/edgar/data/82414/0000950124-96-000731.txt,3829,WI
6461,719798,CROWN BOOKS CORP ,7/9/1999,585,937394,4/10/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/719798/0000950124-96-001542-index.htm,https://www.sec.gov/Archives/edgar/data/719798/0000950124-96-001542.txt,5940,DE
6626,34067,DYNAMIC MATERIALS CORP ,7/9/1999,585,937394,6/10/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/34067/0000950124-96-002597-index.htm,https://www.sec.gov/Archives/edgar/data/34067/0000950124-96-002597.txt,3390,CO
6633,832485,MEDNET MPC CORP ,7/9/1999,585,937394,6/10/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/832485/0000950124-96-002603-index.htm,https://www.sec.gov/Archives/edgar/data/832485/0000950124-96-002603.txt,6411,NV
6641,916530,EQUITY INNS INC ,7/9/1999,585,937394,6/10/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/916530/0000950124-96-002599-index.htm,https://www.sec.gov/Archives/edgar/data/916530/0000950124-96-002599.txt,6798,TN
6723,355269,GNI GROUP INC DE ,7/9/1999,585,937394,7/10/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/355269/0000950124-96-003065-index.htm,https://www.sec.gov/Archives/edgar/data/355269/0000950124-96-003065.txt,2810,DE
6740,916835,ARDEN INDUSTRIAL PRODUCTS INC ,7/9/1999,585,937394,7/10/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/916835/0000950124-96-003064-index.htm,https://www.sec.gov/Archives/edgar/data/916835/0000950124-96-003064.txt,5072,MN
6741,92827,SPEIZMAN INDUSTRIES INC ,7/9/1999,585,937394,7/10/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/92827/0000950124-96-003068-index.htm,https://www.sec.gov/Archives/edgar/data/92827/0000950124-96-003068.txt,3550,DE
6833,31660,ECC INTERNATIONAL CORP ,7/9/1999,585,937394,8/9/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/31660/0000950124-96-003422-index.htm,https://www.sec.gov/Archives/edgar/data/31660/0000950124-96-003422.txt,3690,DE
6846,799167,MARTEN TRANSPORT LTD ,7/9/1999,585,937394,8/9/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/799167/0000950124-96-003429-index.htm,https://www.sec.gov/Archives/edgar/data/799167/0000950124-96-003429.txt,4213,DE
6850,818968,HARDING ASSOCIATES INC ,7/9/1999,585,937394,8/9/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/818968/0000950124-96-003423-index.htm,https://www.sec.gov/Archives/edgar/data/818968/0000950124-96-003423.txt,4955,DE
7168,52532,MERCURY AIR GROUP INC ,7/9/1999,585,937394,11/12/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/52532/0000950124-96-004872-index.htm,https://www.sec.gov/Archives/edgar/data/52532/0000950124-96-004872.txt,5172,NY
7175,815274,WINSTON RESOURCES INC ,7/9/1999,585,937394,11/12/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/815274/0000950124-96-004876-index.htm,https://www.sec.gov/Archives/edgar/data/815274/0000950124-96-004876.txt,7363,DE
7176,859944,DAKOTAH INC ,7/9/1999,585,937394,11/12/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/859944/0000950124-96-004866-index.htm,https://www.sec.gov/Archives/edgar/data/859944/0000950124-96-004866.txt,2390,SD
7177,878748,POLYMEDICA INDUSTRIES INC ,7/9/1999,585,937394,11/12/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/878748/0000950124-96-004873-index.htm,https://www.sec.gov/Archives/edgar/data/878748/0000950124-96-004873.txt,2834,MA
7180,933034,STRATTEC SECURITY CORP ,7/9/1999,585,937394,11/12/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/933034/0000950124-96-004875-index.htm,https://www.sec.gov/Archives/edgar/data/933034/0000950124-96-004875.txt,3714,WI
7272,74691,MOORE MEDICAL CORP ,7/9/1999,585,937394,12/10/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/74691/0000950124-96-005374-index.htm,https://www.sec.gov/Archives/edgar/data/74691/0000950124-96-005374.txt,5122,DE
7282,883842,M WAVE INC ,7/9/1999,585,937394,12/10/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/883842/0000950124-96-005375-index.htm,https://www.sec.gov/Archives/edgar/data/883842/0000950124-96-005375.txt,3679,DE
7287,98410,TIPPERARY CORP ,7/9/1999,585,937394,12/10/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/937394/0000950124-96-005376-index.htm,https://www.sec.gov/Archives/edgar/data/937394/0000950124-96-005376.txt,1311,TX
7411,4164,ALPINE GROUP INC DE ,7/9/1999,585,937394,1/10/1997,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/4164/0000950137-97-000070-index.htm,https://www.sec.gov/Archives/edgar/data/4164/0000950137-97-000070.txt,3357,DE
7438,739790,MORGAN PRODUCTS LTD ,7/9/1999,585,937394,1/10/1997,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/739790/0000950137-97-000077-index.htm,https://www.sec.gov/Archives/edgar/data/739790/0000950137-97-000077.txt,5031,DE
7439,745113,HOWELL CORP DE ,7/9/1999,585,937394,1/10/1997,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/745113/0000950137-97-000076-index.htm,https://www.sec.gov/Archives/edgar/data/745113/0000950137-97-000076.txt,5172,DE
7440,787520,ESKIMO PIE CORP ,7/9/1999,585,937394,1/10/1997,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/787520/0000950137-97-000075-index.htm,https://www.sec.gov/Archives/edgar/data/787520/0000950137-97-000075.txt,2024,DE
7441,799208,AMERICAN BUILDINGS CO DE ,7/9/1999,585,937394,1/10/1997,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/799208/0000950137-97-000071-index.htm,https://www.sec.gov/Archives/edgar/data/799208/0000950137-97-000071.txt,3448,DE
7449,874710,ALLIED HEALTHCARE PRODUCTS INC ,7/9/1999,585,937394,1/10/1997,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/874710/0000950137-97-000069-index.htm,https://www.sec.gov/Archives/edgar/data/874710/0000950137-97-000069.txt,3842,DE
7453,882160,CHILDRENS BROADCASTING CORP ,7/9/1999,585,937394,1/10/1997,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/882160/0000950137-97-000074-index.htm,https://www.sec.gov/Archives/edgar/data/882160/0000950137-97-000074.txt,4832,MN
7460,899381,AUTONOMOUS TECHNOLOGIES CORP ,7/9/1999,585,937394,1/10/1997,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/899381/0000950137-97-000072-index.htm,https://www.sec.gov/Archives/edgar/data/899381/0000950137-97-000072.txt,3845,FL
7461,909725,BUCKHEAD AMERICA CORP ,7/9/1999,585,937394,1/10/1997,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/909725/0000950137-97-000073-index.htm,https://www.sec.gov/Archives/edgar/data/909725/0000950137-97-000073.txt,7011,DE
8851,27116,DATRON SYSTEMS INC DE ,7/9/1999,585,937394,2/10/1997,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/27116/0000950124-97-000546-index.htm,https://www.sec.gov/Archives/edgar/data/27116/0000950124-97-000546.txt,3663,DE
9127,895642,BOCA RESEARCH INC ,7/9/1999,585,937394,2/10/1997,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/895642/0000950124-97-000541-index.htm,https://www.sec.gov/Archives/edgar/data/895642/0000950124-97-000541.txt,3661,FL
686,856386,GEHL__CO,7/9/1999,585,937394,NA,HEARTLAND ADVISORS INC,NA,NA,0,0
38101,102379,URS CORP NEW ,3/19/1998,295,937394,8/15/1995,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/102379/0000950124-95-002584-index.htm,https://www.sec.gov/Archives/edgar/data/102379/0000950124-95-002584.txt,8711,DE
38121,780118,AMWEST INSURANCE GROUP INC ,3/19/1998,295,937394,8/15/1995,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/780118/0000950124-95-002581-index.htm,https://www.sec.gov/Archives/edgar/data/780118/0000950124-95-002581.txt,6351,DE
38131,782379,VECTRA TECHNOLOGIES INC ,3/19/1998,295,937394,8/15/1995,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/782379/0000950124-95-002586-index.htm,https://www.sec.gov/Archives/edgar/data/782379/0000950124-95-002586.txt,4955,WA
38141,930184,ICN PHARMACEUTICALS INC ,3/19/1998,295,937394,8/15/1995,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/930184/0000950124-95-002583-index.htm,https://www.sec.gov/Archives/edgar/data/930184/0000950124-95-002583.txt,2834,DE
38471,700914,PROFESSIONAL BANCORP INC ,3/19/1998,295,937394,9/11/1995,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/700914/0000950124-95-002899-index.htm,https://www.sec.gov/Archives/edgar/data/700914/0000950124-95-002899.txt,6022,PA
38491,773136,RAMSAY HEALTH CARE INC ,3/19/1998,295,937394,9/11/1995,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/773136/0000950124-95-002896-index.htm,https://www.sec.gov/Archives/edgar/data/773136/0000950124-95-002896.txt,8060,DE
38501,819694,PEOPLES TELEPHONE COMPANY INC ,3/19/1998,295,937394,9/11/1995,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/819694/0000950124-95-002894-index.htm,https://www.sec.gov/Archives/edgar/data/819694/0000950124-95-002894.txt,4899,NY
39301,703701,WESTBRIDGE CAPITAL CORP ,3/19/1998,295,937394,11/13/1995,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/703701/0000950124-95-003699-index.htm,https://www.sec.gov/Archives/edgar/data/703701/0000950124-95-003699.txt,6321,DE
39801,276104,UNC INC ,3/19/1998,295,937394,12/11/1995,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/276104/0000950124-95-004082-index.htm,https://www.sec.gov/Archives/edgar/data/276104/0000950124-95-004082.txt,3724,DE
39941,852485,SERV TECH INC TX ,3/19/1998,295,937394,12/11/1995,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/852485/0000950124-95-004083-index.htm,https://www.sec.gov/Archives/edgar/data/852485/0000950124-95-004083.txt,7600,TX
40771,799231,CARETENDERS HEALTH CORP ,3/19/1998,295,937394,1/10/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/799231/0000950124-96-000173-index.htm,https://www.sec.gov/Archives/edgar/data/799231/0000950124-96-000173.txt,8082,DE
48811,350557,OXBORO MEDICAL INTERNATIONAL INC ,3/19/1998,295,937394,2/12/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/350557/0000950124-96-000585-index.htm,https://www.sec.gov/Archives/edgar/data/350557/0000950124-96-000585.txt,3841,MN
48921,40956,GREINER ENGINEERING INC ,3/19/1998,295,937394,2/12/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/40956/0000950124-96-000586-index.htm,https://www.sec.gov/Archives/edgar/data/40956/0000950124-96-000586.txt,8711,NV
50621,768158,NORTH STAR UNIVERSAL INC ,3/19/1998,295,937394,2/12/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/768158/0000950124-96-000588-index.htm,https://www.sec.gov/Archives/edgar/data/768158/0000950124-96-000588.txt,5045,MN
50951,813298,DESIGNS INC ,3/19/1998,295,937394,2/12/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/813298/0000950124-96-000584-index.htm,https://www.sec.gov/Archives/edgar/data/813298/0000950124-96-000584.txt,5651,DE
60611,82414,WHITE DAVID INC ,3/19/1998,295,937394,2/14/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/82414/0000950124-96-000731-index.htm,https://www.sec.gov/Archives/edgar/data/82414/0000950124-96-000731.txt,3829,WI
64611,719798,CROWN BOOKS CORP ,3/19/1998,295,937394,4/10/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/719798/0000950124-96-001542-index.htm,https://www.sec.gov/Archives/edgar/data/719798/0000950124-96-001542.txt,5940,DE
66261,34067,DYNAMIC MATERIALS CORP ,3/19/1998,295,937394,6/10/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/34067/0000950124-96-002597-index.htm,https://www.sec.gov/Archives/edgar/data/34067/0000950124-96-002597.txt,3390,CO
66331,832485,MEDNET MPC CORP ,3/19/1998,295,937394,6/10/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/832485/0000950124-96-002603-index.htm,https://www.sec.gov/Archives/edgar/data/832485/0000950124-96-002603.txt,6411,NV
66411,916530,EQUITY INNS INC ,3/19/1998,295,937394,6/10/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/916530/0000950124-96-002599-index.htm,https://www.sec.gov/Archives/edgar/data/916530/0000950124-96-002599.txt,6798,TN
67231,355269,GNI GROUP INC DE ,3/19/1998,295,937394,7/10/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/355269/0000950124-96-003065-index.htm,https://www.sec.gov/Archives/edgar/data/355269/0000950124-96-003065.txt,2810,DE
67402,916835,ARDEN INDUSTRIAL PRODUCTS INC ,3/19/1998,295,937394,7/10/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/916835/0000950124-96-003064-index.htm,https://www.sec.gov/Archives/edgar/data/916835/0000950124-96-003064.txt,5072,MN
67411,92827,SPEIZMAN INDUSTRIES INC ,3/19/1998,295,937394,7/10/1996,HEARTLAND ADVISORS INC ,https://www.sec.gov/Archives/edgar/data/92827/0000950124-96-003068-index.htm,https://www.sec.gov/Archives/edgar/data/92827/0000950124-96-003068.txt,3550,DE
